name,qty,value
M4A1-S | Flashback (Field-Tested),930,31620
SG 553 | Army Sheen (Factory New),1454,2908
USP-S | Royal Blue (Factory New),17,94469
Sealed Graffiti | Karambit (SWAT Blue),365,730
Sealed Graffiti | Take Flight (Shark White),467,934
Five-SeveN | Orange Peel (Well-Worn),78,390
AWP | Safari Mesh (Battle-Scarred),1649,6596
P250 | Franklin (Minimal Wear),266,19684
StatTrak™ P90 | Grim (Minimal Wear),122,5124
Dual Berettas | Contractor (Field-Tested),10748,10748
Tec-9 | Bamboo Forest (Field-Tested),842,257652
AUG | Chameleon (Field-Tested),131,26331
Sealed Graffiti | Death Sentence (Tiger Orange),466,466
Souvenir Tec-9 | Red Quartz (Field-Tested),13,7917
USP-S | Torque (Minimal Wear),283,31696
Gamma Case,4915,1086215
Five-SeveN | Forest Night (Field-Tested),10539,10539
XM1014 | Scumbria (Well-Worn),131,1965
AUG | Storm (Field-Tested),4849,4849
Sealed Graffiti | X-Axes (Battle Green),625,625
Sealed Graffiti | Cocky (Jungle Green),292,292
Sealed Graffiti | QQ (Battle Green),486,972
Sealed Graffiti | QQ (Bazooka Pink),487,974
Sealed Graffiti | Noscope (Shark White),317,634
Sealed Graffiti | GGWP (Tracer Yellow),344,344
Sealed Graffiti | Loser (Violent Violet),417,834
Galil AR | Sage Spray (Battle-Scarred),1555,1555
Negev | Terrain (Field-Tested),145,6380
Negev | Desert-Strike (Factory New),99,1980
Sealed Graffiti | Toasted (Tiger Orange),1131,1131
M4A4 | Evil Daimyo (Factory New),170,71400
P90 | Teardown (Well-Worn),43,774
StatTrak™ Five-SeveN | Kami (Factory New),147,41895
StatTrak™ MAG-7 | Heaven Guard (Field-Tested),227,14755
M4A1-S | Nitro (Field-Tested),1325,41075
Sealed Graffiti | Ninja (Jungle Green),526,526
Sealed Graffiti | Double (War Pig Pink),533,1066
Sealed Graffiti | Worry (Dust Brown),586,586
Sealed Graffiti | X-Axes (Tracer Yellow),599,599
UMP-45 | Indigo (Field-Tested),265,75260
StatTrak™ PP-Bizon | Osiris (Factory New),43,16340
Sealed Graffiti | King Me (Jungle Green),302,604
SSG 08 | Ghost Crusader (Well-Worn),235,6580
Tec-9 | Isaac (Minimal Wear),259,80549
AK-47 | Elite Build (Field-Tested),742,92750
USP-S | Lead Conduit (Field-Tested),241,20485
G3SG1 | VariCamo (Field-Tested),1484,5936
StatTrak™ AK-47 | Elite Build (Factory New),40,90920
StatTrak™ Galil AR | Black Sand (Well-Worn),107,1819
Sealed Graffiti | 8-Ball (Princess Pink),517,1034
Glove Case,3324,2034288
Glock-18 | Candy Apple (Factory New),665,35910
Glock-18 | Ironwork (Battle-Scarred),139,1390
SSG 08 | Necropos (Battle-Scarred),87,3915
Nova | Sand Dune (Well-Worn),1349,1349
Dual Berettas | Contractor (Battle-Scarred),2625,5250
Gamma 2 Case,9591,2014110
Sealed Graffiti | Sheriff (Shark White),495,2970
Sealed Graffiti | Lambda (SWAT Blue),477,477
Sealed Graffiti | Double (Brick Red),491,491
Sealed Graffiti | Worry (Princess Pink),558,558
Sealed Graffiti | X-Axes (Wire Blue),576,576
SCAR-20 | Contractor (Field-Tested),13232,13232
Sealed Graffiti | Still Happy (Cash Green),759,759
StatTrak™ XM1014 | Quicksilver (Minimal Wear),48,3744
StatTrak™ Tec-9 | Sandstorm (Field-Tested),1491,96915
SG 553 | Army Sheen (Minimal Wear),11195,11195
M249 | Gator Mesh (Field-Tested),849,3396
AUG | Contractor (Field-Tested),4742,4742
UMP-45 | Urban DDPAT (Battle-Scarred),2459,2459
MAC-10 | Lapis Gator (Factory New),64,4864
Tec-9 | Groundwater (Well-Worn),1314,1314
Souvenir MP9 | Storm (Field-Tested),67,2747
StatTrak™ Glock-18 | Bunsen Burner (Minimal Wear),163,22657
FAMAS | Colony (Battle-Scarred),2304,2304
Train Pin,47,13583
StatTrak™ MP9 | Bioleak (Factory New),22,2288
AK-47 | Safari Mesh (Field-Tested),2192,13152
Glock-18 | Dragon Tattoo (Factory New),29,256215
StatTrak™ P2000 | Fire Elemental (Minimal Wear),7,49266
StatTrak™ FAMAS | Doomkitty (Field-Tested),12,5076
M4A4 | The Battlestar (Factory New),18,15768
StatTrak™ AUG | Torque (Minimal Wear),22,30492
StatTrak™ G3SG1 | Orange Crash (Well-Worn),16,224
AWP | Pit Viper (Minimal Wear),494,24206
SSG 08 | Necropos (Factory New),56,5488
Glock-18 | Water Elemental (Field-Tested),806,264368
P2000 | Fire Elemental (Minimal Wear),87,87696
Glock-18 | Water Elemental (Well-Worn),117,61542
AUG | Aristocrat (Field-Tested),217,12803
MP7 | Army Recon (Minimal Wear),1286,1286
M4A1-S | Basilisk (Field-Tested),427,181475
UMP-45 | Carbon Fiber (Factory New),1187,13057
Nova | Sand Dune (Battle-Scarred),2731,2731
Sticker | Natus Vincere | MLG Columbus 2016,177,41418
Tec-9 | Groundwater (Minimal Wear),1080,2160
Operation Wildfire Case,4659,857256
Nova | Sand Dune (Field-Tested),10643,10643
SG 553 | Waves Perforated (Minimal Wear),965,965
AUG | Storm (Battle-Scarred),1454,1454
Tec-9 | Groundwater (Battle-Scarred),1913,1913
Dual Berettas | Contractor (Well-Worn),1887,1887
Dual Berettas | Colony (Minimal Wear),2473,4946
Nova | Sand Dune (Minimal Wear),4897,4897
Dual Berettas | Contractor (Minimal Wear),1576,1576
Five-SeveN | Forest Night (Well-Worn),2155,2155
M4A4 | Asiimov (Field-Tested),53,702356
SCAR-20 | Cardiac (Field-Tested),45,14985
Sticker | Vexed Gaming (Foil) | Cluj-Napoca 2015,8,15272
Sticker | The Pro (Foil),12,4068
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,334,7840316
PP-Bizon | Osiris (Field-Tested),97,5529
Operation Phoenix Weapon Case,24903,6674004
PP-Bizon | Urban Dashed (Well-Worn),1251,1251
FAMAS | Neural Net (Field-Tested),92,5888
R8 Revolver | Crimson Web (Minimal Wear),72,2160
Five-SeveN | Monkey Business (Field-Tested),767,160303
P90 | Storm (Battle-Scarred),67,19899
AK-47 | Cartel (Factory New),87,233073
Chroma Case Key,1656,0
G3SG1 | Jungle Dashed (Minimal Wear),1587,1587
Operation Vanguard Case Key,493,0
Glock-18 | Water Elemental (Minimal Wear),694,395580
StatTrak™ P250 | Muertos (Minimal Wear),47,60489
AK-47 | Redline (Well-Worn),150,289650
Souvenir P2000 | Amber Fade (Field-Tested),10,13570
P2000 | Fire Elemental (Field-Tested),90,58230
Falchion Case,15031,1097263
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear),16,196080
Chroma Case,5066,1296896
AWP | Lightning Strike (Factory New),78,4032522
StatTrak™ AUG | Bengal Tiger (Field-Tested),25,32775
M4A4 | 龍王 (Dragon King) (Minimal Wear),202,219978
AWP | Asiimov (Well-Worn),149,1454389
AK-47 | Jaguar (Field-Tested),128,764288
AK-47 | Jaguar (Minimal Wear),47,425303
M4A1-S | Cyrex (Minimal Wear),329,862309
AK-47 | Vulcan (Well-Worn),74,963776
★ Bayonet | Marble Fade (Factory New),17,985949
★ StatTrak™ M9 Bayonet | Night (Minimal Wear),2,123974
USP-S | Road Rash (Field-Tested),29,73138
UMP-45 | Blaze (Factory New),159,226098
USP-S | Orion (Minimal Wear),288,1401408
AWP | Corticera (Minimal Wear),269,333560
AWP | Corticera (Field-Tested),192,221568
CS:GO Weapon Case 3,1477,816781
AWP | Redline (Field-Tested),377,1708187
AK-47 | Vulcan (Field-Tested),287,6298215
AWP | BOOM (Field-Tested),60,564300
Sawed-Off | Serenity (Field-Tested),56,6664
Sticker | Cloud9 G2A (Foil) | Cologne 2015,5,10580
Falchion Case Key,1183,0
M4A1-S | Master Piece (Minimal Wear),20,384740
AK-47 | Case Hardened (Minimal Wear),97,2418889
P90 | Trigon (Minimal Wear),46,43240
Sticker | olofmeister (Foil) | Cologne 2015,7,9317
StatTrak™ MP9 | Ruby Poison Dart (Factory New),18,8802
M4A1-S | Guardian (Factory New),192,492288
Desert Eagle | Cobalt Disruption (Minimal Wear),53,323724
M4A1-S | Nitro (Minimal Wear),441,52479
StatTrak™ USP-S | Blood Tiger (Minimal Wear),188,74072
AWP | Asiimov (Field-Tested),433,5543266
StatTrak™ M4A4 | Griffin (Minimal Wear),53,29256
Sticker | Team Kinguin (Foil) | Cologne 2015,15,28905
MAC-10 | Fade (Factory New),139,443688
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear),131,77945
AWP | Sun in Leo (Factory New),322,1101240
